ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה בתוקף לשנה,היתר קרינה,עוצמת הקרינה,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,area
5730,סלקום,6133,ענב,מגדל מים בישוב עינב בשומרון,שומרון,שטח ללא שיפוט,211822,687797,אנטנת עוקץ,2012-10-06 00:00:00,2015-04-05 00:00:00,2020-05-02 00:00:00,יש היתר,1.0,0.25,מוט בגובה גג מגורים,http://documents.sviva.gov.il/B001_2_6133_20120610_1017.pdf,http://documents.sviva.gov.il/B002_2_6133_20150504_0817.pdf,
5731,סלקום,6137,קרית גת,שטח חקלאי מושב עוזה בין צומת פלוגות לקריית גת דרום,שפיר,שפיר,176187,612969,תורן קרקעי,21/09/2014,2015-12-05 00:00:00,2019-01-07 00:00:00,יש היתר,0.767,0.174,במפלס הקרקע,http://documents.sviva.gov.il/B001_2_6137_20140921_0820.pdf,http://documents.sviva.gov.il/B002_2_6137_20150512_1101.pdf,
5732,סלקום,6141,גבעת עוז,סאלם ליד גן אירועים,מעלה עירון,חסר מעמד,219667,716783,תורן קרקעי,24/08/2017,23/09/2019,2019-04-07 00:00:00,יש היתר,1.772,0.338,במבנה קומה 1,http://documents.sviva.gov.il/B001_2_6141_20170824_1321.pdf,http://documents.sviva.gov.il/B002_2_6141_20190923_1127.pdf,
5733,סלקום,6157,פרדס חנה-כרכור,מערבית לכביש 65 רח` ברקאי,פרדס חנה-כרכור,פרדס חנה כרכור,201388,708866,תורן קרקעי,2011-10-01 00:00:00,2016-04-01 00:00:00,2019-05-06 00:00:00,יש היתר,0.2,0.1,ליד שיח צבר ובמטע הרימונים,,http://documents.sviva.gov.il/B002_2_6157_20160104_0927.pdf,78002
5734,סלקום,6158,גן שמואל,שביל התפוזים 2 חדרה,חדרה,חדרה,194733,707050,תורן קרקעי,21/09/2014,14/06/2018,2019-11-04 00:00:00,יש היתר,0.84,0.16,קרקע,http://documents.sviva.gov.il/B001_2_6158_20140921_0754.pdf,http://documents.sviva.gov.il/B002_2_6158_20180614_1110.pdf,650021
5735,סלקום,6166,אשדוד,"רח` המדע 5 אזה""ת",אשדוד,אשדוד,169419,637816,תורן על הגג,2014-05-11 00:00:00,2015-12-05 00:00:00,2019-04-08 00:00:00,יש היתר,0.26,0.07,המתכת 22,http://documents.sviva.gov.il/B001_2_6166_20141105_1025.pdf,http://documents.sviva.gov.il/B002_2_6166_20150512_1140.pdf,
5736,סלקום,6172,אשדוד,רח` שבי ציון 8,אשדוד,אשדוד,166547,635123,מתקן גישה אלחוטי,29/10/2014,2015-09-02 00:00:00,15/01/2020,יש היתר,2.3,0.58,הראשונים 26 קומה 4,http://documents.sviva.gov.il/B001_2_6172_20141029_1335.pdf,http://documents.sviva.gov.il/B002_2_6172_20150209_0943.pdf,70126
5737,סלקום,6173,פתח תקווה,"רח` רמב""ם 8",פתח תקווה,פתח תקווה,189706,666529,מתקן גישה אלחוטי,2014-09-06 00:00:00,22/09/2019,19/06/2019,יש היתר,46.12,4.87,גג שכן צמוד פנטהאוז,http://documents.sviva.gov.il/B001_2_6173_20140609_1448.pdf,http://documents.sviva.gov.il/B002_2_6173_20190922_1505.pdf,7900313
5738,סלקום,6174,ראשון לציון,רח` רוזינסקי 2,ראשון לציון,ראשון לציון,178295,655021,תורן על הגג,31/03/2014,23/02/2020,2019-03-12 00:00:00,יש היתר,1.74,0.18,בתוך המבנה,http://documents.sviva.gov.il/B001_2_6174_20140331_0923.pdf,http://documents.sviva.gov.il/B002_2_6174_20200223_1519.pdf,
5739,סלקום,6199,חיפה,רח` המוסכים 51,חיפה,חיפה,204357,744456,תורן על הגג,2010-08-04 00:00:00,19/04/2015,2020-11-02 00:00:00,יש היתר,0.6,0.15,ההסתדרות 94,http://documents.sviva.gov.il/B001_2_6199_20190123_1135.pdf,http://documents.sviva.gov.il/B002_2_6199_20150419_1045.pdf,
5740,סלקום,6200,נשר,רח` התעשייה 36,נשר,נשר,204659,742034,מתקן גישה אלחוטי,2012-03-12 00:00:00,24/10/2017,2019-03-06 00:00:00,יש היתר,25.84,4.42,מתחת לסככת פח של מוסך,http://documents.sviva.gov.il/B001_2_6200_20150316_1102.pdf,http://documents.sviva.gov.il/B002_2_6200_20171024_0817.pdf,
5741,סלקום,6212,מעלה לבונה,מגדל מים מעלה לבונה,מטה בנימין,מטה בנימין,222758,662379,אנטנה משתפלת,26/04/2018,24/06/2018,2019-10-04 00:00:00,יש היתר,0.022,0.002,בבית פרטי קרקע,http://documents.sviva.gov.il/B001_2_6212_20180426_1550.pdf,http://documents.sviva.gov.il/B002_2_6212_20180624_1529.pdf,
5742,סלקום,6213,עופר,מדרום למושב,חוף הכרמל,חוף הכרמל,198972,726302,תורן קרקעי,15/06/2011,19/04/2015,2019-02-10 00:00:00,יש היתר,0.321,0.073,במפלס קרקע,http://documents.sviva.gov.il/B001_2_6213_20190304_1242.pdf,http://documents.sviva.gov.il/B002_2_6213_20150419_1028.pdf,
5743,סלקום,6227,חיפה,רח` שארית הפליטה,חיפה,חיפה,199242,741078,מתקן גישה אלחוטי,13/02/2011,25/10/2016,2019-08-12 00:00:00,יש היתר,0.48,0.12,מתחם פרגולה,http://documents.sviva.gov.il/B001_2_6227_20190625_0911.pdf,http://documents.sviva.gov.il/B002_2_6227_20161025_0858.pdf,4000944
5744,סלקום,6234,הרצליה,רח` ויצמן 35,הרצליה,הרצליה,184816,674785,מתקן גישה אלחוטי,20/10/2014,14/01/2018,2019-09-09 00:00:00,יש היתר,12.56,2.02,גג פנטהאוז שכן צמוד,http://documents.sviva.gov.il/B001_2_6234_20141020_0941.pdf,http://documents.sviva.gov.il/B002_2_6234_20180114_0925.pdf,640056
5745,סלקום,6251,באקה אל-גרביה,ממזרח לכביש 574,באקה אל-גרביה,באקה ג'ת,205022,700697,תורן קרקעי,25/07/2017,20/12/2017,2019-10-07 00:00:00,יש היתר,0.19,0.02,בתוך מבנה,http://documents.sviva.gov.il/B001_2_6251_20170725_1349.pdf,http://documents.sviva.gov.il/B002_2_6251_20171220_0916.pdf,
5746,סלקום,6253,בענה,בענה כביש 8534,בענה,שגור,226187,758948,מתקן גישה אלחוטי,2014-10-09 00:00:00,2018-04-01 00:00:00,19/08/2019,יש היתר,13.32,2.71,בתוך מבנה מגורים צפון מערבי,http://documents.sviva.gov.il/B001_2_6253_20140910_1048.pdf,http://documents.sviva.gov.il/B002_2_6253_20180104_1443.pdf,
